Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/rentenreform-2020-rettung-oder-reinfall
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Sebastian Frehner;Nationalrat SVP/BS;Ja;Diskutant;-
@5;Pascale Bruderer;Nationalrätin SP/AG;Ja;Diskutant;-
@6;Regine Sauter;Nationalrätin FDP/ZH;Ja;Diskutant;-
@7;Martin Landolt;Präsident BDP/GL;Ja;Diskutant;-
@8;Silja Häusermann;Professorin Politikwissenschaft, Uni Zürich;Ja;Experte;-
@9;Alain Berset;Bundesrat;Nein;Andere;-
@10;Thomas Jauslin;Sachbearbeiter;Ja;Zuschauer;-
@11;Franz Jeker;Elektromonteur;Ja;Zuschauer;-
@12;Regula Rytz;Nationalrätin Grüne;Nein;Andere;-
@13;Hans Bol;Rentner;Ja;Zuschauer;-
@14;Olivia Artho;Kantonsschülerin;Ja;Zuschauer;-
@15;Madeleine Weisskopf;Rentnerin;Ja;Zuschauer;-
