Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/wieso-trump
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Katja Gentinetta;Politik-Philosophin;Ja;Diskutant;-
@5;Mattea Meyer;Nationalrätin SP/ZH;Ja;Diskutant;-
@6;Andreas Glarner;Nationalrat SVP/AG;Ja;Diskutant;-
@7;Pirmin Bischof;Ständerat CVP/SO;Ja;Diskutant;-
@8;Nadine Mattli;Wirtschaftsstudentin;Ja;Zuschauer;-
@9;Josua Studer;Buschauffeur;Ja;Zuschauer;-
@10;Simon Mettler;Politologe;Ja;Zuschauer;-
@11;Gregor Szöllösy;Chirurg;Ja;Zuschauer;-
@12;Nigel Farage;Parteichef UKIP;Nein;Andere;-
@13;Daniel Schlatter;Rentner;Ja;Zuschauer;-
@14;Karl Heinz Hug;Fotograf;Ja;Zuschauer;-
@15;Silvan Borghi;Elektrotechnikstudent;Ja;Zuschauer;-
@16;Donald Trump;US-Präsident;Nein;Andere;-
@17;Zuschauerin 1;NA;Ja;Zuschauer;NA
