Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/arena-an-der-suedgrenze
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Norman Gobbi;Regierungsrat TI/Lega;Ja;Diskutant;-
@5;Marco Romano;Nationalrat CVP/TI;Ja;Diskutant;-
@6;Doris Fiala;Nationalrätin FDP/ZH;Ja;Diskutant;-
@7;Balthasar Glättli;Nationalrat Grüne/ZH;Ja;Diskutant;-
@8;Miriam Behrens;Direktorin Schweizerische Flüchtlingshilfe;Ja;Diskutant;-
@9;Patrick Benz;Chef Fachbereich Migration Grenzwachtkorps;Ja;Diskutant;-
@10;David Keller;Staatssekretariat für Migration;Ja;Diskutant;-
@11;Roberto Bernasconi;Direktor Caritas Diözese Como;Nein;Andere;-
