"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/ue50-chancenlos"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Corrado Pardini";"Nationalrat SP";"Ja";"Diskutant";"-"
"@5";"Petra Gössi";"Nationalrätin FDP";"Ja";"Diskutant";"-"
"@6";"Regula Rytz";"Nationalrätin Grüne";"Ja";"Diskutant";"-"
"@7";"Valentin Vogt";"Direktor Arbeitgeberverband";"Ja";"Diskutant";"-"
"@8";"Franz Jäger";"Wirtschaftsprofessor";"Ja";"Experte";"-"
"@9";"Matthias Schiesser";"Arbeitsloser";"Ja";"Zuschauer";"-"
"@10";"Josef Keiser";"Arbeitsloser";"Ja";"Zuschauer";"-"
"@11";"Franziska Leuenberger";"Arbeitslose";"Ja";"Zuschauer";"-"
"@12";"Thomas Suri";"Projektleiter";"Ja";"Zuschauer";"-"
"@13";"Heidi Joos";"Geschäftsführerin 50plus";"Ja";"Zuschauer";"-"
"@14";"Urs Bösch";"Arbeitsloser";"Ja";"Zuschauer";"-"
