"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/srg-und-private-wer-profitiert-vom-neuen-mediengesetz"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Jacqueline Badran";"Nationalrätin SP/ZH";"Ja";"Diskutant";"-"
"@5";"Gregor Rutz";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-"
"@6";"Martin Candinas";"Nationalrat CVP/GR";"Ja";"Diskutant";"-"
"@7";"Beat Walti";"Nationalrat FDP/ZH";"Ja";"Diskutant";"-"
"@8";"Gilbert A.  Bühler";"Verband Schweizer Medien";"Ja";"Diskutant";"-"
"@9";"André Moesch";"Präsident Telesuisse";"Ja";"Diskutant";"-"
"@10";"Manuel Puppis";"Professor für Medienwissenschaft";"Ja";"Experte";"-"
"@11";"Patti Basler";"Slam-Poetin";"Ja";"Andere";"-"
