"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/schweiz-und-eu-25-jahre-nach-dem-ewr-nein"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Franz Steinegger";"ex-Nationalrat FDP/UR";"Ja";"Diskutant";"-"
"@5";"Christoph Blocher";"ex-Bundesrat";"Ja";"Diskutant";"-"
"@6";"Elisabeth Schneider-Schneiter";"Nationalrätin CVP";"Ja";"Diskutant";"-"
"@7";"Daniel Jositsch";"Ständerat SP";"Ja";"Diskutant";"-"
"@8";"Christa Tobler";"Professorin für Europarecht Universität Basel";"Ja";"Experte";"-"
"@9";"Doris Leuthard";"Bundespräsidentin";"Nein";"andere";"-"
"@10";"Jean-Claude Juncker";"EU-Kommissionspräsident";"Nein";"andere";"-"
"@11";"Adrian Schmidlin";"Druck-Ingenieur";"Ja";"Zuschauer";"-"
"@12";"Daniel Beck";"Architekt";"Ja";"Zuschauer";"-"
