"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/tempo-30-laermschutz-oder-schikane"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ulrich Giezendanner";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@5";"Jürg Grossen";"Nationalrat GLP/BE";"Ja";"Diskutant";"-"
"@6";"Carmen Walker Späh";"Regierungsrätin Volkswirtschaftsdirektion ZH";"Ja";"Diskutant";"-"
"@7";"Bastien Girod";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@8";"Thomas Sauter-Servaes";"Mobilitätsforscher";"Ja";"Experte";"-"
"@9";"Erich Marte";"Generalagentur Versicherung";"Ja";"Zuschauer";"-"
"@10";"Thomas Graf";"Vorstandsmitglied Lärmliga";"Ja";"Zuschauer";"-"
"@11";"Fred Karli";"Rentner";"Ja";"Zuschauer";"-"
"@12";"Gianluca Steffan";"Tiefbauzeichner in Ausbildung";"Ja";"Zuschauer";"-"
